DATE,PARTICULARS,DR,CR,TYPE
04-08-2020,POS XXXXXX ONE COMMUNICAT,100.00,0,SWIPE
04-11-2020,UPI BHARATPEMERCHANT BHARATPE,250.00,0,UPI
28-04-2020,MONTHLY INTEREST CREDIT,0,177.00,OTH
05-05-2020,UPI AMBHORE SACHIN TRIMB SACHINAMBHORE,300.00,0,UPI
05-05-2020,UPI AMBHORE SACHIN TRIMB SACHINAMBHORE,255.00,0,UPI
05-05-2020,UPI ARU RAGHUVANSHI ARUSINGH OKAXIS UTIB,0,"5,000.00",UPI
05-08-2020,UPI CUREWELL DRUGSE STOR PAYTMQR,379.00,0,UPI
05-10-2020,UPI BHARATPE MERCHANT BHARATPE,92.00,0,UPI
05-11-2020,INST ALERT CHG INC GST JAN MAR MIR,17.70,0,OTH
14-05-2020,UPI SAEED KHAN OA MAIRTEL AIRP,455.00,0,UPI
16-05-2020,UPI RAMDAS HIRAMAN BAND RAMDASBANDAL,250.00,0,UPI
16-05-2020,UPI M MART PAYTMQRIVHWDAE,"1,476.00",0,UPI
22-05-2020,UPI BHARATPE MERCHANT BHARATPE,49.00,0,UPI
28-05-2020,MONTHLY INTEREST CREDIT,0,171.00,OTH
28-05-2020,UPI M MART PAYTMQRIVHWDAE,425.00,0,UPI
28-05-2020,UPI SAGAR SUPER SH PAYTMQR,175.00,0,UPI
30-05-2020,UPI NIKAM VEGETABLES SUP   OK,140.00,0,UPI
06-08-2020,QUARTERLY INTEREST CREDIT,0,947.00,OTH
16-06-2020,UPI YOGESH YADAV YOGIYADAV  OKSBI I,500.00,0,UPI
16-06-2020,UPI YOGESH YADAV YOGIYADAV  OKSBI I,"1,000.00",0,UPI
28-06-2020,MONTHLY INTEREST CREDIT,0,177.00,OTH
07-01-2020,CREDIT INTEREST CAPITALISED,0,218.00,CREDIT
07-08-2020,UPI KRISHNA GENERAL STOR PAYTMQR,116.00,0,UPI
07-11-2020,UPI M MART PAYTMQRIVHWDAE,434.00,0,UPI
07-11-2020,UPI SHREE GANESH SUPER S Q YBL U,960.00,0,UPI
19-07-2020,UPI SHREE GANESH SUPER S Q YBL U,330.00,0,UPI
19-07-2020,UPI PRAVIN CHATRARAM CHA PAYTMQR,738.00,0,UPI
19-07-2020,UPI PRAVIN CHATRARAM CHA PAYTMQR,140.00,0,UPI
22-07-2020,INST ALERT CHG INC GST APR JUN MIR,17.70,0,OTH
28-07-2020,MONTHLY INTEREST CREDIT,0,171.00,OTH
08-08-2020,UPI NIKAM VEGETABLES  OKBIZAXI,70.00,0,UPI
28-08-2020,MONTHLY INTEREST CREDIT,0,177.00,OTH
09-07-2020,UPI CUREWELL DRUGSE STOR PAYTMQR,294.00,0,UPI
09-08-2020,QUARTERLY INTEREST CREDIT,0,948.00,OTH
09-09-2020,QUARTERLY INTEREST CREDIT,0,10.00,OTH
09-09-2020,PRINCIPAL AUTO REDEEM,0,"65,000.00",OTH
09-11-2020,NEFT CR UTIB ARU RAGHUVANSHI SUPR,0,"16,000.00",NEFT
09-11-2020,FD THROUGH NET  SUPRIYA SH,"90,000.00",0,OTH
18-09-2020,FEVBRWIUHLCOR  RAZPSWIGGY,537.00,0,OTH
19-09-2020,UPI PRAVIN CHATRARAM CHA SATYAM MEDIZONE,160.00,0,UPI
28-09-2020,MONTHLY INTEREST CREDIT,0,177.00,OTH
30-09-2020,UPI PRAVIN CHATRARAM CHA SATYAM MEDIZONE,549.00,0,UPI
10-01-2020,CREDIT INTEREST CAPITALISED,0,184.00,CREDIT
10-01-2020,NEFT CR UTIB ARU RAGHUVANSHI SUPR,0,"15,000.00",NEFT
10-01-2020,POS XXXXXX GOLD CITY,"7,180.00",0,SWIPE
10-02-2020,UPI PRAKASH VAGARAM CHAU PAYTMQR,215.00,0,UPI
13-10-2020,IMPS  AMAZON SELLER SERVIC H,0,"2,350.00",IMPS
22-10-2020,INST ALERT CHG INC GST JUL SEP MIR,17.70,0,OTH
28-10-2020,MONTHLY INTEREST CREDIT,0,171.00,OTH
29-10-2020,UPI MR WASIM LALU SHAIKH WASIMSHAIKH,400.00,0,UPI
16-11-2020,POS XXXXXX UBER INDIA SYSTE,216.00,0,SWIPE
16-11-2020,POS XXXXXX UBER INDIA SYSTE,216.00,0,SWIPE
17-11-2020,UPI PAWAR FRUITS PAYTMQRMPJ,135.00,0,UPI
17-11-2020,UPI CUREWELL DRUG STORE GPAY,78.00,0,UPI
18-11-2020,UPI A  FRESH CHICKEN CE PAYTMQR,200.00,0,UPI
20-11-2020,UPI YASH SUBHASH SHAHA YASHSHAHA OKICI,"4,000.00",0,UPI
20-11-2020,POS XXXXXX KISHORE FABRICS,"7,680.00",0,SWIPE
24-11-2020,POS XXXXXX UBER INDIA SYSTE,187.00,0,SWIPE
28-11-2020,MONTHLY INTEREST CREDIT,0,177.00,OTH
12-02-2020,IMPS  ARU RAGHUVANSHI HDFC,0,11.00,IMPS
12-02-2020,NEFT CR ICICSF ARU RAGHUVANSHI SUPR,0,10.00,NEFT
12-02-2020,NEFT CR ICICSF ARU RAGHUVANSHI SUPR,0,"25,000.00",NEFT
12-03-2020,POS XXXXXX UBER INDIA SYSTE,71.00,0,SWIPE
12-06-2020,POS XXXXXX UBER INDIA SYSTE,71.00,0,SWIPE
12-06-2020,POS XXXXXX UBER INDIA SYSTE,88.00,0,SWIPE
12-07-2020,POS XXXXXX JUST CASUALS,"1,018.00",0,SWIPE
12-07-2020,POS XXXXXX SHRI PRAVINA CRE,450.00,0,SWIPE
12-11-2020,QUARTERLY INTEREST CREDIT,0,985.00,OTH
13-12-2020,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,400.00,0,UPI
13-12-2020,POS XXXXXX UBER INDIA SYSTE,229.00,0,SWIPE
17-12-2020,POS XXXXXX UBER INDIA SYSTE,381.00,0,SWIPE
17-12-2020,POS XXXXXX UBER INDIA SYSTE,72.00,0,SWIPE
18-12-2020,UPI CUREWELL DRUG STORE  OKBIZ,185.00,0,UPI
24-12-2020,UPI SAGAR SEKH Q YBL PYTM,109.00,0,UPI
28-12-2020,MONTHLY INTEREST CREDIT,0,171.00,OTH
29-12-2020,UPI CUREWELL DRUG STORE  OKBIZ,156.00,0,UPI
29-12-2020,UPI JETLEY JITENDRA PRAM AMZN,220.00,0,UPI
30-12-2020,POS XXXXXX PAYHOUSE OF BEA,"3,500.00",0,SWIPE
30-12-2020,UPI SAGAR SEKH Q YBL PYTM,220.00,0,UPI
31-12-2020,UPI KHUSHI PRAKASH JAINA KHUSHIJAINANI,300.00,0,UPI
01-01-2021,CREDIT INTEREST CAPITALISED,0,201.00,CREDIT
01-05-2021,NEFT CR ICICSF ARU RAGHUVANSHI SUPR,0,"25,000.00",NEFT
01-06-2021,POS XXXXXX UBER INDIA SYSTE,76.00,0,SWIPE
01-07-2021,POS XXXXXX UBER INDIA SYSTE,70.00,0,SWIPE
01-07-2021,UPI MOHAMMED HATIM,0,530.00,UPI
01-07-2021,POS XXXXXX UBER INDIA SYSTE,66.00,0,SWIPE
01-08-2021,POS XXXXXX UBER INDIA SYSTE,70.00,0,SWIPE
01-08-2021,UPI RAMESH GOMAJI CHOUD Q YBL Y,70.00,0,UPI
01-08-2021,UPI RAMESHCHANDRA PREMCH Q YBL P,100.00,0,UPI
01-08-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,530.00,0,UPI
01-12-2021,POS XXXXXX UBER INDIA SYSTE,69.00,0,SWIPE
01-12-2021,POS XXXXXX UBER INDIA SYSTE,64.00,0,SWIPE
13-01-2021,UPI AQUA MAGIC PAYTMQRNGSHFO,"3,500.00",0,UPI
15-01-2021,UPI GANESH CHANDRAPRAKAS GANESHKHARAT,"3,400.00",0,UPI
15-01-2021,POS XXXXXX UBER INDIA SYSTE,77.00,0,SWIPE
16-01-2021,POS XXXXXX UBER INDIA SYSTE,79.00,0,SWIPE
18-01-2021,INST ALERT CHG INC GST OCT DEC MIR,17.70,0,OTH
18-01-2021,NEFT CR UTIB ARU RAGHUVANSHI SUPR,0,"5,000.00",NEFT
19-01-2021,UPI ARBAAZ NAEEM SAYYED ARSALANSAYYED O,"1,240.00",0,UPI
19-01-2021,UPI GOLDEN BAKERY Q YBL YESBYBL,100.00,0,UPI
20-01-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"1,167.00",UPI
20-01-2021,UPI KHUSHI PRAKASH JAINA KHUSHIJAINANI,750.00,0,UPI
20-01-2021,POS XXXXXX UBER INDIA SYSTE,78.00,0,SWIPE
20-01-2021,UPI SANJAY MEGHRAJ AHIR PAYTMQR,770.00,0,UPI
21-01-2021,UPI INNOVATIVE RETAIL CO BIGBASKET AXISB,"2,239.00",0,UPI
21-01-2021,DEBIT CARD ANNUAL FEE JAN   MI,295.00,0,OTH
21-01-2021,UPI NITASHA ANIKET CHANK AMZN,100.00,0,UPI
21-01-2021,POS XXXXXX SHOPPERS STOP LT,350.00,0,SWIPE
21-01-2021,POS XXXXXX SHOPPERS STOP LT,"4,782.22",0,SWIPE
21-01-2021,POS XXXXXX UBER INDIA SYSTE,226.00,0,SWIPE
22-01-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"2,240.00",UPI
24-01-2021,UPI SAGAR SEKH Q YBL PYTM,180.00,0,UPI
25-01-2021,POS XXXXXX UBER INDIA SYSTE,76.00,0,SWIPE
26-01-2021,POS XXXXXX UBER INDIA SYSTE,78.00,0,SWIPE
27-01-2021,UPI PRAVADA MILIND TELAN PMTELANG OKHDF,450.00,0,UPI
27-01-2021,POS XXXXXX UBER INDIA SYSTE,113.00,0,SWIPE
27-01-2021,UPI GLITTER BHARATPE  FBPE FDR,294.00,0,UPI
28-01-2021,MONTHLY INTEREST CREDIT,0,178.00,OTH
28-01-2021,POS XXXXXX UBER INDIA SYSTE,146.00,0,SWIPE
28-01-2021,UPI CUREWELL DRUGSE STOR PAYTMQR,694.00,0,UPI
29-01-2021,UPI KHUSHI PRAKASH JAINA KHUSHIJAINANI,"1,350.00",0,UPI
29-01-2021,UPI DEEPAK SURENDRA TULP Q YBL I,200.00,0,UPI
30-01-2021,UPI CURE WELL DRUG STORE CUREWELLDRUGSTO,196.00,0,UPI
30-01-2021,NEFT CR ICICSF ARU RAGHUVANSHI SUPR,0,"20,000.00",NEFT
31-01-2021,UPI ASPAK ANUAR SHAIKH SASHPAK OKHDFC,350.00,0,UPI
02-01-2021,UPI PAWAR FRUITS PAYTMQRW,534.00,0,UPI
02-02-2021,UPI POOJA VIDYASAGAR KIT POOJAKITTUR O,"2,000.00",0,UPI
02-02-2021,POS XXXXXX AKAYS,"3,695.00",0,SWIPE
02-04-2021,POS XXXXXX VODAFONE MOBILE,699.00,0,SWIPE
